"X","realSum","room_type","room_shared","room_private","person_capacity","host_is_superhost","multi","biz","cleanliness_rating","guest_satisfaction_overall","bedrooms","dist","metro_dist","attr_index","attr_index_norm","rest_index","rest_index_norm","lng","lat"
0,570.0980738023,"Entire home/apt","False","False",2,"False",0,0,10,98,1,5.30101781893181,1.58899035875744,209.632577558973,14.571793090484,467.597522331187,8.37272382320834,-0.16032,51.46531
1,297.984430489899,"Private room","False","True",2,"True",1,0,10,99,1,2.19894552170893,0.379262013475139,553.89174418599,38.5016297790594,961.472137010545,17.2159609117807,-0.09683,51.50343
2,336.790611256144,"Private room","False","True",2,"False",1,0,10,96,1,2.32295774790521,0.453177611118162,428.287848500011,29.7707636102267,959.042838655223,17.1724622976052,-0.10554,51.52407
3,226.722171264611,"Private room","False","True",2,"True",1,0,10,99,1,5.70782467878169,1.72397712259141,195.694743859178,13.6029588035237,452.232472256941,8.09759978029198,-0.16575,51.46292
4,256.355982031562,"Private room","False","True",3,"False",0,0,9,98,1,3.25794480357662,0.825417181973771,329.477068449281,22.902316640893,735.327280209055,13.1666485446018,-0.12055,51.53728
5,239.892753827701,"Private room","False","True",2,"False",0,0,10,100,1,5.08572991688216,1.80621809683665,226.724964278563,15.7599038583837,486.737051571493,8.7154330652,-0.17241,51.47222
6,324.090406641737,"Private room","False","True",2,"False",0,0,10,100,1,4.59505476404513,0.296878679494108,283.442608083072,19.7024102174757,682.18671831595,12.2151224408644,-0.19359,51.51061
7,155.695101013664,"Private room","False","True",2,"False",1,0,10,95,1,5.10245338017087,1.01370609170508,214.26396216561,14.8937257738303,453.668123759774,8.12330631842688,-0.15177,51.46504
8,129.353935887486,"Private room","False","True",4,"False",1,0,9,93,1,4.53404077592472,1.77280610570383,257.445014370916,17.895288629623,541.216973248828,9.69094152350034,-0.16972,51.47724
9,246.007667160563,"Entire home/apt","False","False",3,"False",0,1,8,74,0,3.74665506102806,0.417554468790939,332.044947030464,23.0808127305857,761.652285424182,13.6380197298295,-0.18085,51.51343
10,220.136879983066,"Entire home/apt","False","False",2,"False",0,1,9,79,0,3.78985269605588,0.382663376728493,323.640764718455,22.4966286921538,740.677172226922,13.262442825389,-0.18092,51.51536
11,362.896587407982,"Entire home/apt","False","False",2,"False",1,0,8,83,1,4.6391127144548,0.495527976453528,270.077195543471,18.7733655605628,664.521761457637,11.8988166478265,-0.19317,51.51606
12,207.436675368659,"Private room","False","True",2,"False",0,0,4,80,1,5.94524260171319,1.74295595330018,192.919074828321,13.410018969094,427.665646851841,7.65771027167266,-0.18049,51.46636
13,285.04903690115,"Private room","False","True",2,"True",1,0,9,97,1,3.22171513533499,1.15219284036158,334.881864593364,23.2780100184438,637.311266157465,11.4115900237305,-0.15,51.483
14,505.185916884216,"Entire home/apt","False","False",4,"False",0,1,9,90,3,4.48770580259135,1.96888003102894,255.954592688491,17.7916877645917,526.338662244159,9.42453294978324,-0.1655,51.4757
15,142.524518450575,"Private room","False","True",2,"False",0,0,10,96,1,4.32386555376541,0.807853016761757,262.921765895821,18.2759837055421,560.727953707286,10.0403019095098,-0.1301,51.54715
16,310.919824078647,"Private room","False","True",2,"False",0,0,9,93,1,5.32849600545799,1.75400189555607,216.52856613914,15.0511409090084,468.625213721021,8.39112549509846,-0.17501,51.47072
17,608.904254568546,"Entire home/apt","False","False",4,"False",0,0,10,90,2,3.58979268677682,0.201295828148837,341.842316238998,23.761838736182,798.922066496537,14.3053662596284,-0.17815,51.51484
18,207.436675368659,"Private room","False","True",2,"True",1,0,10,99,1,5.1166711022157,1.67440556820711,217.136362029512,15.093389475805,465.632201819236,8.33753311948387,-0.1606,51.46724
19,194.50128177991,"Private room","False","True",2,"False",1,0,10,95,1,3.69567456840482,0.353406154511931,314.189581689611,21.8396664720624,742.394183489673,13.2931873448054,-0.08567,51.52886
20,512.947153037466,"Entire home/apt","False","False",4,"False",0,0,9,95,2,3.54507942963914,0.676366613739508,321.456603492543,22.3448052216281,684.328481468807,12.2534724973065,-0.133,51.54
21,206.025541522613,"Private room","False","True",2,"True",0,1,10,97,1,3.21859446240576,0.467669949381208,344.676398694834,23.958838952602,778.306266239844,13.9362231532168,-0.0931,51.52771
22,213.551588701522,"Private room","False","True",2,"True",0,1,9,96,1,3.06688357733722,0.500669244077836,360.422961147992,25.0533999823125,804.398744922921,14.4034307568567,-0.09423,51.52645
23,215.197911521908,"Private room","False","True",3,"False",0,1,9,89,1,3.48175767783849,0.22542315870725,353.849475370948,24.596469691507,820.628460294089,14.6940373534328,-0.17693,51.51364
24,145.346786142666,"Private room","False","True",2,"True",1,0,10,100,1,5.68922297945423,0.923165078194546,191.352866037182,13.3011500580367,400.059145101459,7.16339282163887,-0.12543,51.45721
26,271.878454338061,"Private room","False","True",5,"False",1,0,10,96,1,3.77631307855645,0.772869272641682,287.328394728143,19.9725155591409,725.650750835114,12.9933822115998,-0.10344,51.53876
27,220.372068957407,"Private room","False","True",2,"False",1,0,9,91,1,3.78345441193177,0.780321986333699,286.810442445925,19.9365121212445,723.549354680017,12.9557549599367,-0.1035,51.53885
28,362.661398433641,"Entire home/apt","False","False",2,"False",1,0,9,91,1,5.45381665950428,1.06137980519759,217.65904166424,15.1297215172203,476.158758361193,8.52601989823281,-0.18361,51.47403
29,271.878454338061,"Entire home/apt","False","False",3,"False",0,1,9,93,1,4.19357625401052,0.281539162928826,360.802516946435,25.0797833270464,771.934702122298,13.8221349809525,-0.06841,51.5161
