"X","realSum","room_type","room_shared","room_private","person_capacity","host_is_superhost","multi","biz","cleanliness_rating","guest_satisfaction_overall","bedrooms","dist","metro_dist","attr_index","attr_index_norm","rest_index","rest_index_norm","lng","lat"
1,297.984430489899,"Private room","False","True",2,"True",1,0,10,99,1,2.19894552170893,0.379262013475139,553.89174418599,38.5016297790594,961.472137010545,17.2159609117807,-0.09683,51.50343
2,336.790611256144,"Private room","False","True",2,"False",1,0,10,96,1,2.32295774790521,0.453177611118162,428.287848500011,29.7707636102267,959.042838655223,17.1724622976052,-0.10554,51.52407
3,226.722171264611,"Private room","False","True",2,"True",1,0,10,99,1,5.70782467878169,1.72397712259141,195.694743859178,13.6029588035237,452.232472256941,8.09759978029198,-0.16575,51.46292
4,256.355982031562,"Private room","False","True",3,"False",0,0,9,98,1,3.25794480357662,0.825417181973771,329.477068449281,22.902316640893,735.327280209055,13.1666485446018,-0.12055,51.53728
5,239.892753827701,"Private room","False","True",2,"False",0,0,10,100,1,5.08572991688216,1.80621809683665,226.724964278563,15.7599038583837,486.737051571493,8.7154330652,-0.17241,51.47222
6,324.090406641737,"Private room","False","True",2,"False",0,0,10,100,1,4.59505476404513,0.296878679494108,283.442608083072,19.7024102174757,682.18671831595,12.2151224408644,-0.19359,51.51061
7,155.695101013664,"Private room","False","True",2,"False",1,0,10,95,1,5.10245338017087,1.01370609170508,214.26396216561,14.8937257738303,453.668123759774,8.12330631842688,-0.15177,51.46504
8,129.353935887486,"Private room","False","True",4,"False",1,0,9,93,1,4.53404077592472,1.77280610570383,257.445014370916,17.895288629623,541.216973248828,9.69094152350034,-0.16972,51.47724
12,207.436675368659,"Private room","False","True",2,"False",0,0,4,80,1,5.94524260171319,1.74295595330018,192.919074828321,13.410018969094,427.665646851841,7.65771027167266,-0.18049,51.46636
13,285.04903690115,"Private room","False","True",2,"True",1,0,9,97,1,3.22171513533499,1.15219284036158,334.881864593364,23.2780100184438,637.311266157465,11.4115900237305,-0.15,51.483
15,142.524518450575,"Private room","False","True",2,"False",0,0,10,96,1,4.32386555376541,0.807853016761757,262.921765895821,18.2759837055421,560.727953707286,10.0403019095098,-0.1301,51.54715
16,310.919824078647,"Private room","False","True",2,"False",0,0,9,93,1,5.32849600545799,1.75400189555607,216.52856613914,15.0511409090084,468.625213721021,8.39112549509846,-0.17501,51.47072
18,207.436675368659,"Private room","False","True",2,"True",1,0,10,99,1,5.1166711022157,1.67440556820711,217.136362029512,15.093389475805,465.632201819236,8.33753311948387,-0.1606,51.46724
19,194.50128177991,"Private room","False","True",2,"False",1,0,10,95,1,3.69567456840482,0.353406154511931,314.189581689611,21.8396664720624,742.394183489673,13.2931873448054,-0.08567,51.52886
21,206.025541522613,"Private room","False","True",2,"True",0,1,10,97,1,3.21859446240576,0.467669949381208,344.676398694834,23.958838952602,778.306266239844,13.9362231532168,-0.0931,51.52771
22,213.551588701522,"Private room","False","True",2,"True",0,1,9,96,1,3.06688357733722,0.500669244077836,360.422961147992,25.0533999823125,804.398744922921,14.4034307568567,-0.09423,51.52645
23,215.197911521908,"Private room","False","True",3,"False",0,1,9,89,1,3.48175767783849,0.22542315870725,353.849475370948,24.596469691507,820.628460294089,14.6940373534328,-0.17693,51.51364
24,145.346786142666,"Private room","False","True",2,"True",1,0,10,100,1,5.68922297945423,0.923165078194546,191.352866037182,13.3011500580367,400.059145101459,7.16339282163887,-0.12543,51.45721
26,271.878454338061,"Private room","False","True",5,"False",1,0,10,96,1,3.77631307855645,0.772869272641682,287.328394728143,19.9725155591409,725.650750835114,12.9933822115998,-0.10344,51.53876
27,220.372068957407,"Private room","False","True",2,"False",1,0,9,91,1,3.78345441193177,0.780321986333699,286.810442445925,19.9365121212445,723.549354680017,12.9557549599367,-0.1035,51.53885
30,207.436675368659,"Private room","False","True",2,"False",1,0,9,89,1,5.9434285583586,1.34065911874177,186.917343370445,12.9928319554762,432.392246893647,7.74234398952367,-0.16282,51.45967
31,156.635856911028,"Private room","False","True",2,"False",0,1,9,92,1,4.47092827837236,0.3102159854363,249.450064167706,17.339550769189,537.815027142299,9.63002683971543,-0.12308,51.54841
32,265.528352030857,"Private room","False","True",2,"False",1,0,10,100,1,5.39704624755693,1.48328618863964,205.175073464315,14.2619470344765,457.366138179986,8.18952235242193,-0.15921,51.46404
33,233.307462546156,"Private room","False","True",2,"False",1,0,9,92,1,1.31837855397036,0.189004452491675,733.027011695584,50.9535210058606,1017.9456629748,18.2271665183977,-0.114,51.5
36,139.702250758484,"Private room","False","True",2,"False",1,0,10,98,1,4.76593204604223,0.915028860675795,263.572600752902,18.321223958674,572.796460124557,10.2563985874534,-0.18168,51.48203
38,150.050565629483,"Private room","False","True",2,"False",1,0,9,91,1,4.22130082864475,0.507082475116014,395.136852447444,27.4664010877293,708.868725459106,12.692886043513,-0.067,51.512
40,220.372068957407,"Private room","False","True",4,"False",0,0,10,94,1,6.85622188269696,0.52752713155574,179.799006154019,12.4980284365104,419.952321278942,7.51959674091996,-0.22097,51.48847
41,173.569463063572,"Private room","False","True",2,"True",0,1,10,95,1,5.57541837869129,0.677782180889083,195.316770700778,13.5766854698554,405.742141531542,7.26515161488513,-0.12187,51.45834
42,274.700722030151,"Private room","False","True",2,"True",0,0,10,99,1,3.55779218212064,0.80349827419318,299.269609862371,20.8025626740078,688.201292006246,12.3228184016388,-0.11084,51.53856
43,181.565888191162,"Private room","False","True",2,"True",0,0,9,97,1,6.32515936717047,2.28296092080372,178.890006015803,12.4348428282069,413.167519699651,7.39810920707791,-0.17769,51.46089
45,259.178249723653,"Private room","False","True",2,"False",0,0,9,91,1,4.29094682109027,0.295623675149561,300.906900056709,20.9163725322788,734.457409438135,13.1510727825865,-0.18848,51.51464
47,134.528093322985,"Private room","False","True",2,"False",1,0,10,94,1,7.29544104352988,1.39376542227082,164.457995490639,11.4316577617388,373.677179615237,6.69100171522685,-0.22149,51.47904
48,121.827888708577,"Private room","False","True",2,"False",0,1,9,93,4,4.3698037954764,0.19561305612057,335.383530035162,23.3128813399896,574.093829543096,10.2796290694798,-0.06669,51.49825
49,285.04903690115,"Private room","False","True",4,"True",1,0,10,96,1,3.9750171130329,0.935027192460693,285.156849707666,19.8215690550549,606.574837471192,10.861228620148,-0.13017,51.54401
50,259.178249723653,"Private room","False","True",2,"False",0,0,10,99,1,4.11859949494634,0.430940838457305,264.035754178041,18.3534182672059,595.153089206432,10.6567126866112,-0.11026,51.54374
51,262.941273313107,"Private room","False","True",2,"True",1,0,10,99,0,3.78743491796401,0.259714133619941,321.632489993721,22.3570312875021,732.310537363961,13.1126312466451,-0.18043,51.51659
53,246.242856134904,"Private room","False","True",2,"False",0,1,10,96,1,2.54365295912091,0.327113906442208,436.354041277481,30.3314536210539,987.084785333625,17.6745767524314,-0.163,51.514
58,269.526564594652,"Private room","False","True",2,"False",0,1,9,93,1,0.448904780698348,0.136296895796803,929.472058390948,64.6086341921211,2733.72050640588,48.9495468151053,-0.1325,51.51089
60,269.526564594652,"Private room","False","True",2,"False",0,1,9,92,1,0.465075598201985,0.0683194448668839,929.330651696045,64.5988048558427,2624.0284744494,46.9854194506159,-0.13324,51.51049
64,182.506644088525,"Private room","False","True",2,"False",0,1,9,91,1,3.51412115758477,1.01159519572147,304.875321819514,21.192221932676,680.181833400681,12.1792233034841,-0.1174,51.53927
65,132.176203579576,"Private room","False","True",2,"True",1,0,10,99,1,8.66816529001495,1.66546900643713,134.146128781134,9.32464627039281,300.270727245964,5.37659793167962,-0.23248,51.4662
66,113.831463580987,"Private room","False","True",2,"True",0,0,10,96,1,4.87479801298297,0.375348750544314,220.487299362439,15.3263168482734,473.296956689458,8.4747769512754,-0.13539,51.46479
67,187.680801524025,"Private room","False","True",2,"False",0,1,9,92,1,3.42931707638439,1.02244109180537,311.97310254469,21.685596547124,694.927182266932,12.4432510791628,-0.11802,51.53857
71,173.569463063572,"Private room","False","True",3,"True",0,1,9,94,1,5.46177088174557,0.571579957849538,199.099505538332,13.839627566026,413.176430579896,7.39826876382435,-0.12132,51.45939
73,207.436675368659,"Private room","False","True",2,"False",0,0,10,100,1,4.72252206928017,1.70961940233075,246.92349050052,17.1639258299033,520.86923001377,9.32659820174075,-0.17127,51.47584
